occupation,gender,category,income,area_type,disability,scheme_name,official_link,req,min_age,max_age,mode_of_application,Description,Required_Documents
Self-employed,Male,ST,42189,Rural,Yes,Tamil Nadu Vidiyal Payanam Thittam,https://www.tnsocialwelfare.tn.gov.in/en,,5,19,School/tnsocialwelfare.tn.gov.in,Free bus pass for students.,"Aadhar, Student cert, Income proof"
Farmer,Female,OBC,35724,Rural,Yes,Tamil Nadu Free Laptop Scheme,https://elcotlaptop.tn.gov.in/about,,15,21,elcotlaptop.tn.gov.in,Free laptops for higher secondary toppers.,"12th marksheet (+60%), Aadhar, Student ID"
Homemaker,Other,OBC,29604,Rural,Yes,Tamil Nadu Anbu Karangal Scheme,https://drive.google.com/file/d/1Xpq_iFjVTQE2dGwb5MavheXo46qZa4-0/view?usp=sharing,,0,18,Child welfare dept,Support for orphans/abandoned children.,"Child details, Aadhar, Orphanage cert"
Student,Male,General,31291,Rural,No,Tamil Nadu Naan Mudhalvan UPSC Mains Scholarship Programme,https://portal.naanmudhalvan.tn.gov.in/upsc_registration,,21,32,Online naanmudhalvan.tn.gov.in,Scholarship/coaching for UPSC aspirants (21-32 gen).,"Degree cert, TN domicile, Age proof, Prelims score"
Homemaker,Female,OBC,47063,Rural,Yes,Tamil Nadu Kalaignar Magalir Urimai Thittam Scheme,https://kmut.tn.gov.in/,,21,100,Online kmut.tn.gov.in,"Rs.1,000/month to working-age women heads.","Aadhar, Ration card, Income cert, Bank details"
Student,Other,OBC,30121,Rural,No,Tamil Nadu Free Laptop Scheme,https://elcotlaptop.tn.gov.in/about,,15,21,elcotlaptop.tn.gov.in,Free laptops for higher secondary toppers.,"12th marksheet (+60%), Aadhar, Student ID"
Employee,Female,ST,42349,Urban,No,Tamil Nadu Kalaignarin Kanavu Illam Scheme,ttps://tnrd.tn.gov.in/rdweb_newsite/project/reports/Public/public_page_table_content_details_view.php?tabular_content_id=MjY5&page_id=Ng%3D%3D,,25,90,tnrd.tn.gov.in (rural dev),Rs.1.1L aid for hut-to-house conversion.,"Aadhar, Ration card, Patta/land docs, Hut dweller cert [web:21]"
Homemaker,Female,General,42569,Rural,No,Tamil Nadu Amma Baby Care Kit Scheme,https://picme3.tn.gov.in/api/react2/,,0,6,Online picme3.tn.gov.in,Kit for newborns (0-6 months).,"Birth cert, Aadhar of mother/infant"
Self-employed,Other,OBC,41876,Urban,No,Moovalur Ramamirtham Ammaiyar Ninaivu Marriage Assistance Scheme,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/pudhumai-penn,,18,40,Online/Offline at Social Welfare Dept (tnsocialwelfare.tn.gov.in),"Rs.50,000 marriage aid for poor brides post-10th std.","Age proof (18+ bride, 21+ groom), Income cert (<=72k), Community cert, Nativity cert, Bride 10th cert, Marriage invitation, Family card, Aadhar [web:14]"
Unemployed,Female,OBC,16757,Urban,Yes,Tamil Nadu Anbu Karangal Scheme,https://drive.google.com/file/d/1Xpq_iFjVTQE2dGwb5MavheXo46qZa4-0/view?usp=sharing,,0,18,Child welfare dept,Support for orphans/abandoned children.,"Child details, Aadhar, Orphanage cert"
Student,Female,SC,6810,Rural,No,Tamil Nadu Chief Minister Breakfast Scheme,https://www.tnsocialwelfare.tn.gov.in/en/specilisationsnutritious-meal-programme/chief-ministers-breakfast-scheme,,6,12,Automatic through govt schools,Free nutritious breakfast for primary students.,"School enrollment, Aadhar"
Homemaker,Other,SC,16403,Rural,No,Tamil Nadu Kalaignar Sports Kit Scheme,https://www.tnsports.org.in/webapp/kalaigar_sports_kit.aspx,,12,18,tnsports.org.in,Sports kits for rural school students.,"School ID, Sports participation cert, Aadhar"
Employee,Female,SC,27833,Urban,Yes,Tamil Nadu Ulagam Ungal Kaiyil Scheme,https://schemes.vikaspedia.in/viewcontent/schemesall/state-specific-schemes/welfare-schemes-of-tamil-nadu/ulagam-ungal-kaiyil-scheme?lgn=en,,18,21,Online via vikaspedia/schemes portal,Laptop distribution for students/families.,"Aadhar, Ration card, Income proof, Bank details"
Unemployed,Female,OBC,33364,Urban,No,Tamil Nadu Chief Minister Breakfast Scheme,https://www.tnsocialwelfare.tn.gov.in/en/specilisationsnutritious-meal-programme/chief-ministers-breakfast-scheme,,6,12,Automatic through govt schools,Free nutritious breakfast for primary students.,"School enrollment, Aadhar"
Self-employed,Female,ST,15207,Urban,No,Amma Two Wheeler Scheme for Working Women,https://krishnagiri.nic.in/scheme/amma-two-wheeler-scheme/,,18,40,District collectorate portal,50% subsidy on scooters for working women.,"Aadhar, 8th std cert, Income proof (<=2.5L), DL/learner permit [web:22]"
Unemployed,Male,SC,39894,Rural,Yes,Tamil Nadu Chief Minister Fellowship Programme,https://bim.edu/index/tncmfp/,,22,30,Online bim.eduin/tncmfp,"Rs.65k/month fellowship for young professionals (22-30, relaxations).","Degree certs, TN domicile, Age proof, Resume"
Homemaker,Female,ST,25084,Rural,Yes,Moovalur Ramamirtham Ammaiyar Ninaivu Marriage Assistance Scheme,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/pudhumai-penn,,18,40,Online/Offline at Social Welfare Dept (tnsocialwelfare.tn.gov.in),"Rs.50,000 marriage aid for poor brides post-10th std.","Age proof (18+ bride, 21+ groom), Income cert (<=72k), Community cert, Nativity cert, Bride 10th cert, Marriage invitation, Family card, Aadhar [web:14]"
Farmer,Male,ST,39209,Urban,No,Tamil Nadu Kalaignar Magalir Urimai Thittam Scheme,https://kmut.tn.gov.in/,,21,100,Online kmut.tn.gov.in,"Rs.1,000/month to working-age women heads.","Aadhar, Ration card, Income cert, Bank details"
Self-employed,Male,SC,40173,Urban,Yes,Tamil Nadu Unemployed Youth Employment Generation Programme,https://msmeonline.tn.gov.in/uyegp/,,18,35,Online msmeonline.tn.gov.in/uyegp,Aid for unemployed youth enterprises.,"Age proof, Qualification, Project report, Aadhar"
Student,Male,OBC,34065,Rural,Yes,Tamil Nadu Tamizh Pudhalvan Scheme,https://umis.tn.gov.in/auth/login,,12,21,umis.tn.gov.in,Rs.1k/month for boys from govt schools post-12th.,"School marksheets 6-12, UG enrollment, Aadhar [web:19]"
Homemaker,Other,SC,12419,Urban,No,Tamil Nadu Free Laptop Scheme,https://elcotlaptop.tn.gov.in/about,,15,21,elcotlaptop.tn.gov.in,Free laptops for higher secondary toppers.,"12th marksheet (+60%), Aadhar, Student ID"
Self-employed,Female,General,44350,Urban,No,Moovalur Ramamirtham Ammaiyar Ninaivu Marriage Assistance Scheme,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/pudhumai-penn,,18,40,Online/Offline at Social Welfare Dept (tnsocialwelfare.tn.gov.in),"Rs.50,000 marriage aid for poor brides post-10th std.","Age proof (18+ bride, 21+ groom), Income cert (<=72k), Community cert, Nativity cert, Bride 10th cert, Marriage invitation, Family card, Aadhar [web:14]"
Student,Male,General,22611,Urban,No,Tamil Nadu Unemployment Assistance Scheme,https://tnvelaivaaippu.gov.in/index.html#,,18,35,Online at tnvelaivaaippu.gov.in,Cash aid for educated unemployed youth.,"Aadhar/Voter ID, Domicile TN, Caste cert, Affidavit, Qualification docs [web:17]"
Homemaker,Female,ST,7082,Rural,No,Chief Minister Comprehensive Health Insurance Scheme,https://www.cmchistn.com/,,25,100,Online cmchistn.com,Up to Rs.5L health insurance/family.,"Aadhar, Ration/family card"
Student,Male,SC,19078,Rural,Yes,Tamil Nadu Chief Minister Breakfast Scheme,https://www.tnsocialwelfare.tn.gov.in/en/specilisationsnutritious-meal-programme/chief-ministers-breakfast-scheme,,6,12,Automatic through govt schools,Free nutritious breakfast for primary students.,"School enrollment, Aadhar"
Unemployed,Other,General,48592,Urban,Yes,E.V.R Maniammaiyar Ninaivu Marriage Assistance Scheme For Daughters Of Poor Widows,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/marriage-assistance-schemes,,18,25,Social Welfare Dept,"Rs.25,000 marriage aid for poor widows' daughters.","Widow cert, Age proof, Income cert, Community cert, Marriage invitation, Aadhar [web:14]"
Unemployed,Other,General,31510,Urban,No,Tamil Nadu Chief Minister Breakfast Scheme,https://www.tnsocialwelfare.tn.gov.in/en/specilisationsnutritious-meal-programme/chief-ministers-breakfast-scheme,,6,12,Automatic through govt schools,Free nutritious breakfast for primary students.,"School enrollment, Aadhar"
Farmer,Male,ST,36058,Rural,No,Dr. Dharmambal Ammaiyar Ninaivu Widow Remarriage Assistance Scheme,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/marriage-assistance-schemes,,18,45,Social Welfare Dept,"Rs.25,000 for widow remarriage.","Widow cert, Age proof (18+ bride, 21+ groom), No income limit [web:14]"
Student,Other,General,22147,Rural,No,Dr. Dharmambal Ammaiyar Ninaivu Widow Remarriage Assistance Scheme,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/marriage-assistance-schemes,,18,45,Social Welfare Dept,"Rs.25,000 for widow remarriage.","Widow cert, Age proof (18+ bride, 21+ groom), No income limit [web:14]"
Employee,Female,SC,29618,Urban,No,Tamil Nadu Unemployment Assistance Scheme,https://tnvelaivaaippu.gov.in/index.html#,,18,35,Online at tnvelaivaaippu.gov.in,Cash aid for educated unemployed youth.,"Aadhar/Voter ID, Domicile TN, Caste cert, Affidavit, Qualification docs [web:17]"
Student,Female,ST,42172,Rural,Yes,Tamil Nadu Chief Minister Fellowship Programme,https://bim.edu/index/tncmfp/,,22,30,Online bim.eduin/tncmfp,"Rs.65k/month fellowship for young professionals (22-30, relaxations).","Degree certs, TN domicile, Age proof, Resume"
Unemployed,Male,SC,36707,Urban,Yes,Tamil Nadu Naan Mudhalvan UPSC Mains Scholarship Programme,https://portal.naanmudhalvan.tn.gov.in/upsc_registration,,21,32,Online naanmudhalvan.tn.gov.in,Scholarship/coaching for UPSC aspirants (21-32 gen).,"Degree cert, TN domicile, Age proof, Prelims score"
Self-employed,Female,ST,45889,Urban,Yes,Dr. Muthulakshmi Reddy Ninaivu Inter Caste Marriage Assistance Scheme,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/marriage-assistance-schemes,,18,21,Social Welfare Dept,"Rs.25,000 for inter-caste couples.","Different caste certs, Age proof, Marriage proof [web:14]"
Homemaker,Other,OBC,41219,Urban,Yes,Tamil Nadu Dr Muthulakshmi Reddy Maternity Benefit Scheme,https://picme3.tn.gov.in/api/react2/,,19,45,picme3.tn.gov.in,Rs.18k maternity aid for poor women.,"Pregnancy cert (1st-3rd trimester), Aadhar, Bank details"
Student,Other,SC,34731,Urban,No,Tamil Nadu Kalaignar Magalir Urimai Thittam Scheme,https://kmut.tn.gov.in/,,21,100,Online kmut.tn.gov.in,"Rs.1,000/month to working-age women heads.","Aadhar, Ration card, Income cert, Bank details"
Self-employed,Female,General,36309,Urban,Yes,Tamil Nadu Unemployment Assistance Scheme,https://tnvelaivaaippu.gov.in/index.html#,,18,35,Online at tnvelaivaaippu.gov.in,Cash aid for educated unemployed youth.,"Aadhar/Voter ID, Domicile TN, Caste cert, Affidavit, Qualification docs [web:17]"
Self-employed,Female,OBC,19928,Rural,Yes,Tamil Nadu Unemployment Assistance Scheme,https://tnvelaivaaippu.gov.in/index.html#,,18,35,Online at tnvelaivaaippu.gov.in,Cash aid for educated unemployed youth.,"Aadhar/Voter ID, Domicile TN, Caste cert, Affidavit, Qualification docs [web:17]"
Employee,Other,General,24423,Rural,No,Chief Minister Comprehensive Health Insurance Scheme,https://www.cmchistn.com/,,25,100,Online cmchistn.com,Up to Rs.5L health insurance/family.,"Aadhar, Ration/family card"
Student,Male,SC,29109,Rural,Yes,Tamil Nadu Unemployed Youth Employment Generation Programme,https://msmeonline.tn.gov.in/uyegp/,,18,35,Online msmeonline.tn.gov.in/uyegp,Aid for unemployed youth enterprises.,"Age proof, Qualification, Project report, Aadhar"
Unemployed,Female,ST,45612,Rural,No,Tamil Nadu Makkaludan Mudhalvar Scheme,https://cmhelpline.tnega.org/portal/en/home,,18,18,cmhelpline.tnega.org,Public grievance redressal helpline.,"Aadhar, Grievance details"
Employee,Other,SC,7809,Urban,Yes,Tamil Nadu Ulagam Ungal Kaiyil Scheme,https://schemes.vikaspedia.in/viewcontent/schemesall/state-specific-schemes/welfare-schemes-of-tamil-nadu/ulagam-ungal-kaiyil-scheme?lgn=en,,18,21,Online via vikaspedia/schemes portal,Laptop distribution for students/families.,"Aadhar, Ration card, Income proof, Bank details"
Employee,Female,SC,7172,Rural,No,Annai Therasa Ninaivu Marriage Assistance Scheme for Orphan Girls,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/marriage-assistance-schemes,,18,30,Social Welfare Dept portal/office,"Rs.30,000 marriage aid for orphan brides.","Orphan cert, Age proof (18+ bride), Community cert, Marriage invitation, Family card, Aadhar [web:14]"
Student,Female,SC,28433,Urban,Yes,Tamil Nadu Amma Baby Care Kit Scheme,https://picme3.tn.gov.in/api/react2/,,0,6,Online picme3.tn.gov.in,Kit for newborns (0-6 months).,"Birth cert, Aadhar of mother/infant"
Employee,Female,General,22017,Urban,Yes,Tamil Nadu Dr Muthulakshmi Reddy Maternity Benefit Scheme,https://picme3.tn.gov.in/api/react2/,,19,45,picme3.tn.gov.in,Rs.18k maternity aid for poor women.,"Pregnancy cert (1st-3rd trimester), Aadhar, Bank details"
Unemployed,Other,General,39422,Urban,No,Tamil Nadu Tamizh Pudhalvan Scheme,https://umis.tn.gov.in/auth/login,,12,21,umis.tn.gov.in,Rs.1k/month for boys from govt schools post-12th.,"School marksheets 6-12, UG enrollment, Aadhar [web:19]"
Homemaker,Male,General,42878,Urban,No,Tamil Nadu Free Laptop Scheme,https://elcotlaptop.tn.gov.in/about,,15,21,elcotlaptop.tn.gov.in,Free laptops for higher secondary toppers.,"12th marksheet (+60%), Aadhar, Student ID"
Unemployed,Other,General,41432,Rural,Yes,Tamil Nadu Chief Minister's Solar Rooftop Capital Incentive Scheme,https://www.tnebltd.gov.in/usrp/,,18,75,tnebltd.gov.in/usrp,Subsidy for solar rooftop installation.,"Electricity bill, Aadhar, Land proof"
Unemployed,Other,ST,9765,Rural,No,Moovalur Ramamirtham Ammaiyar Ninaivu Marriage Assistance Scheme,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/pudhumai-penn,,18,40,Online/Offline at Social Welfare Dept (tnsocialwelfare.tn.gov.in),"Rs.50,000 marriage aid for poor brides post-10th std.","Age proof (18+ bride, 21+ groom), Income cert (<=72k), Community cert, Nativity cert, Bride 10th cert, Marriage invitation, Family card, Aadhar [web:14]"
Farmer,Male,General,8548,Urban,No,Dr. Muthulakshmi Reddy Ninaivu Inter Caste Marriage Assistance Scheme,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/marriage-assistance-schemes,,18,21,Social Welfare Dept,"Rs.25,000 for inter-caste couples.","Different caste certs, Age proof, Marriage proof [web:14]"
Unemployed,Female,OBC,32713,Rural,Yes,Tamil Nadu Tamizh Pudhalvan Scheme,https://umis.tn.gov.in/auth/login,,12,21,umis.tn.gov.in,Rs.1k/month for boys from govt schools post-12th.,"School marksheets 6-12, UG enrollment, Aadhar [web:19]"
Homemaker,Female,OBC,10212,Urban,Yes,Tamil Nadu Dr Muthulakshmi Reddy Maternity Benefit Scheme,https://picme3.tn.gov.in/api/react2/,,19,45,picme3.tn.gov.in,Rs.18k maternity aid for poor women.,"Pregnancy cert (1st-3rd trimester), Aadhar, Bank details"
Employee,Other,OBC,24288,Rural,No,Tamil Nadu Naan Mudhalvan UPSC Mains Scholarship Programme,https://portal.naanmudhalvan.tn.gov.in/upsc_registration,,21,32,Online naanmudhalvan.tn.gov.in,Scholarship/coaching for UPSC aspirants (21-32 gen).,"Degree cert, TN domicile, Age proof, Prelims score"
Employee,Female,OBC,37286,Urban,No,Tamil Nadu Amma Baby Care Kit Scheme,https://picme3.tn.gov.in/api/react2/,,0,6,Online picme3.tn.gov.in,Kit for newborns (0-6 months).,"Birth cert, Aadhar of mother/infant"
Homemaker,Other,General,21471,Rural,Yes,Tamil Nadu Free Laptop Scheme,https://elcotlaptop.tn.gov.in/about,,15,21,elcotlaptop.tn.gov.in,Free laptops for higher secondary toppers.,"12th marksheet (+60%), Aadhar, Student ID"
Self-employed,Other,OBC,35244,Urban,Yes,Tamil Nadu Kalaignarin Kanavu Illam Scheme,ttps://tnrd.tn.gov.in/rdweb_newsite/project/reports/Public/public_page_table_content_details_view.php?tabular_content_id=MjY5&page_id=Ng%3D%3D,,25,90,tnrd.tn.gov.in (rural dev),Rs.1.1L aid for hut-to-house conversion.,"Aadhar, Ration card, Patta/land docs, Hut dweller cert [web:21]"
Unemployed,Other,OBC,6246,Urban,No,Tamil Nadu Ulagam Ungal Kaiyil Scheme,https://schemes.vikaspedia.in/viewcontent/schemesall/state-specific-schemes/welfare-schemes-of-tamil-nadu/ulagam-ungal-kaiyil-scheme?lgn=en,,18,21,Online via vikaspedia/schemes portal,Laptop distribution for students/families.,"Aadhar, Ration card, Income proof, Bank details"
Unemployed,Female,SC,47745,Urban,No,Tamil Nadu Amma Baby Care Kit Scheme,https://picme3.tn.gov.in/api/react2/,,0,6,Online picme3.tn.gov.in,Kit for newborns (0-6 months).,"Birth cert, Aadhar of mother/infant"
Student,Male,ST,23517,Urban,Yes,Tamil Nadu Mudhalvarin Kakkum Karangal Scheme,https://www.exwel.tn.gov.in/,,18,55,Online exwel.tn.gov.in,Enterprise aid for ex-servicemen & dependents.,"Nativity cert, Aadhar, Age proof, Ex-servicemen card/discharge book, Project report, Land docs, Bank details [web:15]"
Farmer,Male,General,38042,Rural,No,Chief Minister Comprehensive Health Insurance Scheme,https://www.cmchistn.com/,,25,100,Online cmchistn.com,Up to Rs.5L health insurance/family.,"Aadhar, Ration/family card"
Student,Other,SC,30214,Urban,No,Tamil Nadu Tamizh Pudhalvan Scheme,https://umis.tn.gov.in/auth/login,,12,21,umis.tn.gov.in,Rs.1k/month for boys from govt schools post-12th.,"School marksheets 6-12, UG enrollment, Aadhar [web:19]"
Homemaker,Male,OBC,37098,Rural,Yes,Dr. Dharmambal Ammaiyar Ninaivu Widow Remarriage Assistance Scheme,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/marriage-assistance-schemes,,18,45,Social Welfare Dept,"Rs.25,000 for widow remarriage.","Widow cert, Age proof (18+ bride, 21+ groom), No income limit [web:14]"
Farmer,Female,OBC,8072,Urban,Yes,Moovalur Ramamirtham Ammaiyar Ninaivu Marriage Assistance Scheme,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/pudhumai-penn,,18,40,Online/Offline at Social Welfare Dept (tnsocialwelfare.tn.gov.in),"Rs.50,000 marriage aid for poor brides post-10th std.","Age proof (18+ bride, 21+ groom), Income cert (<=72k), Community cert, Nativity cert, Bride 10th cert, Marriage invitation, Family card, Aadhar [web:14]"
Self-employed,Male,SC,38203,Rural,Yes,Tamil Nadu Anbu Karangal Scheme,https://drive.google.com/file/d/1Xpq_iFjVTQE2dGwb5MavheXo46qZa4-0/view?usp=sharing,,0,18,Child welfare dept,Support for orphans/abandoned children.,"Child details, Aadhar, Orphanage cert"
Student,Male,General,47417,Urban,Yes,Tamil Nadu Anbu Karangal Scheme,https://drive.google.com/file/d/1Xpq_iFjVTQE2dGwb5MavheXo46qZa4-0/view?usp=sharing,,0,18,Child welfare dept,Support for orphans/abandoned children.,"Child details, Aadhar, Orphanage cert"
Farmer,Female,OBC,21300,Rural,No,Moovalur Ramamirtham Ammaiyar Ninaivu Marriage Assistance Scheme,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/pudhumai-penn,,18,40,Online/Offline at Social Welfare Dept (tnsocialwelfare.tn.gov.in),"Rs.50,000 marriage aid for poor brides post-10th std.","Age proof (18+ bride, 21+ groom), Income cert (<=72k), Community cert, Nativity cert, Bride 10th cert, Marriage invitation, Family card, Aadhar [web:14]"
Farmer,Other,General,14552,Rural,Yes,Tamil Nadu Dr Muthulakshmi Reddy Maternity Benefit Scheme,https://picme3.tn.gov.in/api/react2/,,19,45,picme3.tn.gov.in,Rs.18k maternity aid for poor women.,"Pregnancy cert (1st-3rd trimester), Aadhar, Bank details"
Self-employed,Other,General,10629,Urban,No,Tamil Nadu Anbu Karangal Scheme,https://drive.google.com/file/d/1Xpq_iFjVTQE2dGwb5MavheXo46qZa4-0/view?usp=sharing,,0,18,Child welfare dept,Support for orphans/abandoned children.,"Child details, Aadhar, Orphanage cert"
Employee,Male,General,5299,Urban,Yes,Tamil Nadu Kalaignar Magalir Urimai Thittam Scheme,https://kmut.tn.gov.in/,,21,100,Online kmut.tn.gov.in,"Rs.1,000/month to working-age women heads.","Aadhar, Ration card, Income cert, Bank details"
Homemaker,Male,SC,20547,Rural,Yes,Annai Therasa Ninaivu Marriage Assistance Scheme for Orphan Girls,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/marriage-assistance-schemes,,18,30,Social Welfare Dept portal/office,"Rs.30,000 marriage aid for orphan brides.","Orphan cert, Age proof (18+ bride), Community cert, Marriage invitation, Family card, Aadhar [web:14]"
Farmer,Other,General,22601,Rural,Yes,Moovalur Ramamirtham Ammaiyar Ninaivu Marriage Assistance Scheme,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/pudhumai-penn,,18,40,Online/Offline at Social Welfare Dept (tnsocialwelfare.tn.gov.in),"Rs.50,000 marriage aid for poor brides post-10th std.","Age proof (18+ bride, 21+ groom), Income cert (<=72k), Community cert, Nativity cert, Bride 10th cert, Marriage invitation, Family card, Aadhar [web:14]"
Homemaker,Female,General,14727,Rural,No,Tamil Nadu Chief Minister Thayumanavar Scheme,https://play.google.com/store/apps/details?id=org.tncdw.cmts&hl=en_IN,,65,100,tncdw app/Google Play,Aid for differently abled persons.,"Aadhar, Disability cert, Income proof"
Student,Female,OBC,36082,Rural,No,Tamil Nadu Pudhumai Penn Scheme,https://tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/pudhumai-penn,,12,18,tnsocialwelfare.tn.gov.in,Rs.1k/month for govt school girls 6th-12th.,"10th/12th marksheet, TC, Aadhar, Bank passbook"
Unemployed,Male,ST,41220,Rural,No,Tamil Nadu Pudhumai Penn Scheme,https://tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/pudhumai-penn,,12,18,tnsocialwelfare.tn.gov.in,Rs.1k/month for govt school girls 6th-12th.,"10th/12th marksheet, TC, Aadhar, Bank passbook"
Farmer,Female,OBC,47515,Rural,No,E.V.R Maniammaiyar Ninaivu Marriage Assistance Scheme For Daughters Of Poor Widows,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/marriage-assistance-schemes,,18,25,Social Welfare Dept,"Rs.25,000 marriage aid for poor widows' daughters.","Widow cert, Age proof, Income cert, Community cert, Marriage invitation, Aadhar [web:14]"
Homemaker,Female,OBC,27142,Urban,Yes,Tamil Nadu Mudhalvarin Kakkum Karangal Scheme,https://www.exwel.tn.gov.in/,,18,55,Online exwel.tn.gov.in,Enterprise aid for ex-servicemen & dependents.,"Nativity cert, Aadhar, Age proof, Ex-servicemen card/discharge book, Project report, Land docs, Bank details [web:15]"
Employee,Male,ST,39176,Urban,No,Tamil Nadu Unemployed Youth Employment Generation Programme,https://msmeonline.tn.gov.in/uyegp/,,18,35,Online msmeonline.tn.gov.in/uyegp,Aid for unemployed youth enterprises.,"Age proof, Qualification, Project report, Aadhar"
Homemaker,Other,ST,10568,Rural,No,Tamil Nadu Mudhalvarin Kakkum Karangal Scheme,https://www.exwel.tn.gov.in/,,18,55,Online exwel.tn.gov.in,Enterprise aid for ex-servicemen & dependents.,"Nativity cert, Aadhar, Age proof, Ex-servicemen card/discharge book, Project report, Land docs, Bank details [web:15]"
Employee,Other,SC,34225,Rural,No,Tamil Nadu Amma Baby Care Kit Scheme,https://picme3.tn.gov.in/api/react2/,,0,6,Online picme3.tn.gov.in,Kit for newborns (0-6 months).,"Birth cert, Aadhar of mother/infant"
Self-employed,Male,OBC,22454,Urban,No,Tamil Nadu Anbu Karangal Scheme,https://drive.google.com/file/d/1Xpq_iFjVTQE2dGwb5MavheXo46qZa4-0/view?usp=sharing,,0,18,Child welfare dept,Support for orphans/abandoned children.,"Child details, Aadhar, Orphanage cert"
Farmer,Male,General,44599,Rural,Yes,Tamil Nadu Ulagam Ungal Kaiyil Scheme,https://schemes.vikaspedia.in/viewcontent/schemesall/state-specific-schemes/welfare-schemes-of-tamil-nadu/ulagam-ungal-kaiyil-scheme?lgn=en,,18,21,Online via vikaspedia/schemes portal,Laptop distribution for students/families.,"Aadhar, Ration card, Income proof, Bank details"
Farmer,Other,ST,29186,Urban,Yes,Tamil Nadu Vidiyal Payanam Thittam,https://www.tnsocialwelfare.tn.gov.in/en,,5,19,School/tnsocialwelfare.tn.gov.in,Free bus pass for students.,"Aadhar, Student cert, Income proof"
Student,Other,ST,11530,Urban,No,E.V.R Maniammaiyar Ninaivu Marriage Assistance Scheme For Daughters Of Poor Widows,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/marriage-assistance-schemes,,18,25,Social Welfare Dept,"Rs.25,000 marriage aid for poor widows' daughters.","Widow cert, Age proof, Income cert, Community cert, Marriage invitation, Aadhar [web:14]"
Employee,Other,General,37232,Rural,Yes,Tamil Nadu New Entrepreneur cum Enterprise Development Scheme,https://msmeonline.tn.gov.in/needs/needs_desc.php,,21,35,Online msmeonline.tn.gov.in/needs,"Loans/subsidy for new MSMEs (21-35 gen, up to 45 special).","Age proof, Qualification cert, Nativity cert, Project report, Aadhar, Bank passbook [web:16]"
Self-employed,Other,General,21226,Rural,Yes,Tamil Nadu Chief Minister Thayumanavar Scheme,https://play.google.com/store/apps/details?id=org.tncdw.cmts&hl=en_IN,,65,100,tncdw app/Google Play,Aid for differently abled persons.,"Aadhar, Disability cert, Income proof"
Self-employed,Female,General,47494,Urban,Yes,Tamil Nadu Pudhumai Penn Scheme,https://tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/pudhumai-penn,,12,18,tnsocialwelfare.tn.gov.in,Rs.1k/month for govt school girls 6th-12th.,"10th/12th marksheet, TC, Aadhar, Bank passbook"
Employee,Male,OBC,27933,Rural,No,Tamil Nadu Pudhumai Penn Scheme,https://tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/pudhumai-penn,,12,18,tnsocialwelfare.tn.gov.in,Rs.1k/month for govt school girls 6th-12th.,"10th/12th marksheet, TC, Aadhar, Bank passbook"
Homemaker,Other,ST,19663,Rural,No,Tamil Nadu Vidiyal Payanam Thittam,https://www.tnsocialwelfare.tn.gov.in/en,,5,19,School/tnsocialwelfare.tn.gov.in,Free bus pass for students.,"Aadhar, Student cert, Income proof"
Employee,Other,OBC,19419,Urban,No,Chief Minister Comprehensive Health Insurance Scheme,https://www.cmchistn.com/,,25,100,Online cmchistn.com,Up to Rs.5L health insurance/family.,"Aadhar, Ration/family card"
Student,Other,OBC,45232,Rural,Yes,Dr. Dharmambal Ammaiyar Ninaivu Widow Remarriage Assistance Scheme,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/marriage-assistance-schemes,,18,45,Social Welfare Dept,"Rs.25,000 for widow remarriage.","Widow cert, Age proof (18+ bride, 21+ groom), No income limit [web:14]"
Employee,Male,ST,39387,Rural,Yes,Dr. Muthulakshmi Reddy Ninaivu Inter Caste Marriage Assistance Scheme,https://www.tnsocialwelfare.tn.gov.in/en/specilisationswoman-welfare/marriage-assistance-schemes,,18,21,Social Welfare Dept,"Rs.25,000 for inter-caste couples.","Different caste certs, Age proof, Marriage proof [web:14]"
